"RegionID","RegionName","StateName","HomeValue","DaysPending","PriceCut"
394913,"New York, NY","NY",668360.5384,49,57486.876014469
753899,"Los Angeles, CA","CA",966785.7735,29,71750.5965946149
394463,"Chicago, IL","IL",326968.4879,24,18543.7866935236
394514,"Dallas, TX","TX",381600.2437,38,15721.2746025854
394692,"Houston, TX","TX",312051.87,47,15072.2420553388
395209,"Washington, DC","VA",569099.4856,17,27118.2052079005
394974,"Philadelphia, PA","PA",366139.7482,24,18355.1308496054
394856,"Miami, FL","FL",490171.0686,68,29714.7341944144
394347,"Atlanta, GA","GA",388470.5845,41,15084.1188273134
394404,"Boston, MA","MA",706038.5543,18,52441.5476525246
394976,"Phoenix, AZ","AZ",460512.553,44,16577.2565705326
395057,"San Francisco, CA","CA",1180320.7,25,69905.0476380909
395025,"Riverside, CA","CA",586146.0772,39,25556.704582591
394532,"Detroit, MI","MI",257336.5412,24,16567.7996125097
395078,"Seattle, WA","WA",748590.8544,17,34354.1387792437
394865,"Minneapolis, MN","MN",379821.7381,29,17479.9978178933
395056,"San Diego, CA","CA",957581.8941,25,51225.0520402636
395148,"Tampa, FL","FL",381940.5537,49,16109.5513862162
394530,"Denver, CO","CO",592719.708,24,19067.3174709206
394358,"Baltimore, MD","MD",388667.4884,20,17840.3951604458
395121,"St. Louis, MO","MO",256453.1791,20,13917.4232073285
394943,"Orlando, FL","FL",399253.401,47,14906.8711498743
394458,"Charlotte, NC","NC",386866.1187,30,15637.0428668063
395055,"San Antonio, TX","TX",290482.5274,61,12408.0034295238
394998,"Portland, OR","OR",554846.5602,29,23109.2255069396
395045,"Sacramento, CA","CA",585947.8584,25,24729.1953610497
394982,"Pittsburgh, PA","PA",219454.6541,29,14694.2857616265
394466,"Cincinnati, OH","OH",289964.6868,17,14875.0159393116
394355,"Austin, TX","TX",466102.7678,61,25087.9452909833
394775,"Las Vegas, NV","NV",430322.34,35,15951.3669799212
394735,"Kansas City, MO","MO",308833.3347,19,13948.2018768858
394492,"Columbus, OH","OH",316824.6975,15,13696.9430874648
394705,"Indianapolis, IN","IN",284630.7297,24,11263.0845449949
394475,"Cleveland, OH","OH",234370.6041,19,14037.6436692461
395059,"San Jose, CA","CA",1624016.019,18,94021.8394764875
394902,"Nashville, TN","TN",447169.8994,36,21391.7206292536
395194,"Virginia Beach, VA","VA",353710.1664,34,11495.3482997875
395005,"Providence, RI","RI",488722.3766,21,34855.3678726411
394714,"Jacksonville, FL","FL",361529.8387,58,13749.0952256863
394862,"Milwaukee, WI","WI",352718.8082,27,17950.813663885
394935,"Oklahoma City, OK","OK",238195.8581,43,9208.09026196107
395012,"Raleigh, NC","NC",448653.4846,25,13960.5747569343
394849,"Memphis, TN","TN",243432.9686,50,10367.9748414725
395022,"Richmond, VA","VA",373458.8091,17,15042.7976065236
394807,"Louisville, KY","KY",260413.1128,23,11219.9231694147
394910,"New Orleans, LA","LA",243729.0342,69,15512.0007423996
395053,"Salt Lake City, UT","UT",548835.2016,27,18637.9568151147
394669,"Hartford, CT","CT",365701.0784,13,27344.8436457599
394425,"Buffalo, NY","NY",266993.3687,20,18052.9944246325
394388,"Birmingham, AL","AL",255336.5558,39,12698.4392815155
395031,"Rochester, NY","NY",258398.491,15,19275.2249152226
394640,"Grand Rapids, MI","MI",331728.5295,15,18450.7449275095
395167,"Tucson, AZ","AZ",352656.2053,39,13109.9176696875
753924,"Urban Honolulu, HI","HI",867056.6753,55,34692.6460485472
395169,"Tulsa, OK","OK",237977.6439,44,11699.3093762228
394619,"Fresno, CA","CA",400651.7783,30,17555.83105758
395238,"Worcester, MA","MA",460505.4239,17,24032.875769667
394938,"Omaha, NE","NE",293416.1397,20,13957.7640036585
394415,"Bridgeport, CT","CT",630514.9952,21,71616.2558486001
394653,"Greenville, SC","SC",299908.4678,36,15349.0783978271
394312,"Albuquerque, NM","NM",338021.4776,26,12653.7084803635
394357,"Bakersfield, CA","CA",354901.1873,33,12381.9670911634
394308,"Albany, NY","NY",336049.8257,22,23847.4971988658
394753,"Knoxville, TN","TN",349057.9795,28,15452.241656552
394367,"Baton Rouge, LA","LA",240016.9679,53,11512.438983075
394843,"McAllen, TX","TX",188237.9546,94,10703.8788305143
394908,"New Haven, CT","CT",373655.7155,18,22613.2682050482
394561,"El Paso, TX","TX",219498.7423,54,10264.1730823251
394318,"Allentown, PA","PA",334984.9967,21,19444.2197318059
394952,"Oxnard, CA","CA",876716.5528,24,51711.8269047104
394486,"Columbia, SC","SC",253466.1903,33,10614.2553697547
753906,"North Port, FL","FL",450115.933,74,24603.0863838312
394457,"Charleston, SC","SC",441007.7875,37,21413.4074972725
394648,"Greensboro, NC","NC",259017.9979,28,10974.4306266173
395134,"Stockton, CA","CA",542281.3732,26,21502.9074659629
394440,"Cape Coral, FL","FL",390184.7994,85,19759.2211719178
394399,"Boise City, ID","ID",482228.422,30,18614.9867106348
394484,"Colorado Springs, CO","CO",464035.7941,30,13065.1481213287
394798,"Little Rock, AR","AR",221983.162,44,11582.3113389962
394766,"Lakeland, FL","FL",315149.4786,59,10536.7398754738
394304,"Akron, OH","OH",224466.1999,18,13292.6846882513
394531,"Des Moines, IA","IA",285374.8924,34,10722.0876509322
395115,"Springfield, MA","MA",354293.3191,17,20325.8185507811
394931,"Ogden, UT","UT",498018.7056,29,13820.7209751016
394816,"Madison, WI","WI",415828.6274,19,21574.6798436825
395235,"Winston, NC","NC",271875.1772,29,11823.9193431158
394528,"Deltona, FL","FL",346652.8947,68,14387.6646175148
395143,"Syracuse, NY","NY",236063.0243,18,19134.8775019534
395006,"Provo, UT","UT",533481.8377,34,16036.3351432927
395160,"Toledo, OH","OH",191941.8396,19,13538.7959841446
395224,"Wichita, KS","KS",217703.187,24,10971.1872741093
394549,"Durham, NC","NC",419390.4745,25,21528.5457604636
394352,"Augusta, GA","GA",236987.1871,40,11211.5947170718
394957,"Palm Bay, FL","FL",357251.3193,57,13739.0636137318
394711,"Jackson, MS","MS",197463.63,45,11976.8866783598
